"musician","album","label","edit","crow","core","thou"
"Baron, Joey","Tongue In Groove ()","JMT",1,"No","No","Yes"
"Barron,Bill","Modern Windows Suite","Savoy",10,"No","No","Yes"
"Barron, Kenny","Peruvian Blue","Muse",1,"No","No","No"
"Barron, Kenny","Other Places","Verve",2,"No","No","No"
"Barron, Kenny","Green Chimneys","Criss Cross",1,"No","No","Yes"
"Barron, Kenny","Swamp Sally","Verve",4,"No","No","No"
"Barron, Kenny","But Beautiful","Steeplechase",5,"No","No","No"
"Bartz, Gary","There Goes Neighborhood","Candid",1,"No","No","Yes"
"Bartz, Gary","Alto Memories","Verve",3,"No","No","No"
"Bartz, Gary","I've Known Rivers","Prestige",9,"No","No","No"
"Basie, Count","American Decca","MCA",1,"Yes","Yes","Yes"
"Basie, Count","Listen You Shall Hear","Hep",1,"No","No","No"
"Basie, Count","Do You Wanna Jump","Hep",1,"No","No","No"
"Basie, Count","CB Vol. 1 1932-1938","BBC",1,"No","No","No"
"Basie, Count","CB 1936 1939; 1938-39","Classics",1,"No","No","No"
"Basie, Count","The Atomic Mr. Basie","Roulette",1,"No","Yes","Yes"
"Basie, Count","CB Swings J Williams Sings","Verve",2,"No","No","No"
"Basie, Count","Basie Rhythm","Hep",3,"No","No","No"
"Basie, Count","The Golden Years","Pablo",5,"No","No","No"
"Basie, Count","Jubilee Alternatives","Hep",10,"No","No","Yes"
"BassDrumBone","Wooferio","Soul Note",9,"No","No","No"
"Bates, Django","Like Life","Storyville",4,"No","No","No"
"Bates, Django","Summer Fruits (And Unrest)","Winter",10,"No","No","Yes"
"Battaglia, Stefano","Re: Pasolini","ECM",9,"No","No","Yes"
"Bauer, Conrad","Plie","Intakt",3,"No","No","No"
"Bauer, Conrad","Between Heaven And Earth","Intakt",7,"No","No","Yes"
"Bauer, Conrad","Hummelsummen","Intakt",8,"No","No","No"
"Bauer, Conrad","Three Wheels","Victo",9,"No","No","No"
"Baumann, Franziska","Voices & Tides","Leo",9,"No","No","No"
"Bechet, Sidney","SB, 1932-1943","BMG/Blubrd",1,"No","No","No"
"Bechet, Sidney","World Fair Concert 58","Vogue",1,"No","No","No"
"Bechet, Sidney","1932-43","Bluebird",1,"No","No","No"
"Bechet, Sidney","Complete Vols 1-4","RCA",3,"No","No","No"
"Bechet, Sidney","King Jazz Vol 1","GHB",4,"No","No","Yes"
"Bechet, Sidney","Shake 'em Up","Avid",6,"No","Yes","No"
"Bechet, Sidney","SB 1940-1941","Classics",10,"No","No","Yes"
"Bechet, Sidney","SB 1947-49","Classics",,"No","Yes","No"
"Bechet, Sidney","Fabulous SB","Blue Note",10,"No","No","Yes"
"Beck, Gordon","For Evans Sake","JMS",1,"No","No","No"
"Beck, Gordon","One For The Road","JMS",3,"No","No","No"
"Beck, Gordon","Experiments with Pops","Art Of Life",7,"No","No","No"
"Beck, Gordon","Gyroscope","Art Of Life",7,"No","No","No"
"Beck, Gordon","Not Last Waltz","Art Of Life",8,"No","No","Yes"
"Beck, Gordon","Once Is Never Enough","FMR",9,"No","No","No"
"Beckett, Harry","Images Of Clarity","Evidence",3,"No","No","No"
"Beckett, Harry","Flare Up","Jazzprint",10,"No","No","Yes"
"Bedford, Ronnie","QuaDRUMvirate","Progressive",9,"No","No","No"
"Beechey, Allen","Bright Stars Of Jazz","Jazzology",9,"No","No","No"
"Beiderbecke, Bix","BB Vol 1 Singing Blues","Columbia",1,"No","No","No"
"Beiderbecke, Bix","Bix & Tram Vol 1 & Vol 2","JSP",1,"No","No","No"
"Beiderbecke, Bix","BB Vol II At Ball","Columbia",1,"No","No","No"
"Beiderbecke, Bix","Bix & Tram (4CD)","JSP",7,"No","Yes","No"
"Beiderbecke, Bix","At The Jazz Band Ball","Columbia",10,"No","No","Yes"
"Beirach, Richie","Common Heart","Owl",9,"No","No","No"
"Bell, Aaron","After The Party's Over","Cloud",9,"No","No","No"
"Bellson, Louis","Hot","Musicmasters",1,"No","No","No"
"Bellson, Louis","Matterhorn","OJC",9,"No","No","No"
"Bellson, Louis","Don't Stop Now","Capri",9,"No","No","No"
"Bellson, Louis","Prime Time","Concord",10,"No","No","Yes"
"Bendian, Gregg","Interzone","Eremite",4,"No","No","No"
"Bendian, Gregg","Interstellar Space","Atavistic",5,"No","No","No"
"Ben-Hur, Roni","Signature","Reservoir",8,"No","No","No"
"Benjamin, Sathima Bea","A Morning In Paris","Ekapa",10,"No","No","Yes"
"Bennett, Max","Max Is The Factor","Fresh Sound",9,"No","No","No"
"Benson, George","Breezin'","Warner Bros",10,"No","No","Yes"
"Berg, Bob","Another Standard","Stretch",4,"No","No","No"
"Bergcrantz, Anders","C","Dragon",4,"No","No","No"
"Bergeron, Chuck","Coast To Coast","A Records",9,"No","No","No"
"Bergin, Sean","Live At The Bimhuis","BVHaast",9,"No","No","No"
"Bergman, Borah","A New Frontier","Soul Note",2,"No","No","Yes"
"Bergman, Borah","First Meeting","Knitting",3,"No","No","No"
"Bergman, Borah","Eight By Three","Mixtery",4,"No","No","No"
"Bergman, Borah","River Of Sounds","Boxholder",6,"No","No","No"
"Bergonzi, Jerry","Tenor Of The Times","Savant",9,"No","No","No"
"Bergonzi, Jerry","The Tenorist","Savant",9,"No","No","No"
"Bergsten, Gunnar","Plays Lars Gullin","Proprius",6,"No","No","No"
"Berigan, Bunny","BB 1937","Classics",3,"No","No","Yes"
"Berigan, Bunny","BB 1935-36, 37-38","Classics",3,"No","No","No"
"Berk, Dick","East Coast Stroll","Reservoir",9,"No","No","No"
"Berkhout, Bernard","Royal Flush","Timeless",3,"No","No","No"
"Berkman, David","Communication Theory","Palmetto",6,"No","No","No"
"Berlin Contemporary","Jazz Orchestra","ECM",1,"No","No","No"
"Berne, Tim","Diminutive Mysteries","JMT",2,"No","No","No"
"Berne, Tim","Low Life: Paris Concert","JMT",3,"No","No","No"
"Berne, Tim","Science Friction","Screwgun",6,"No","No","No"
"Berne, Tim","The Sublime And","Thirsty Ear",7,"No","No","No"
"Berne, Tim","Souls Saved Hear","Thirsty Ear",8,"No","No","No"
"Berne, Tim","Hard Cell Live","Screwgun",8,"No","No","No"
"Berne, Tim","Pre-Emptive Denial","Screwgun",9,"No","No","No"
"Berne, Tim","Fractured Fairy Tales","Winter",10,"No","No","Yes"
"Bernstein, Peter","Heart's Content","Criss Cross",7,"No","No","No"
"Berry, Chu","Blowing Up A Breeze","Topaz",3,"No","No","No"
"Berry, Chu","CB 1937-1941","Classics",10,"No","No","Yes"
"Bert, Eddie","Kaleidoscope","Fresh Sound",9,"No","No","No"
"Bert, Eddie","Live At Capozzoli's","Woofy",9,"No","No","No"
"Bevan, Tony","Big Shots","Incus",2,"No","No","No"
"Bevan, Tony","Twisters","Scatter",4,"No","No","No"
"Bevan, Tony","Bruised","Fog",8,"No","No","No"
"Bilk, Acker","That's My Home","Philips",1,"No","No","No"
"Bilk, Acker","Acker Bilk In Holland","Timeless",1,"No","No","No"
"Bilk, Acker","Paramount Jazzband","Lake",3,"No","No","No"
"Bilk, Acker","Lansdowne Folio","Lake",8,"No","No","No"
"Bilk, Acker","Stranger On Shore/ Taste","Redial",10,"No","No","Yes"
"Binney, David","Bastion of Sanity","Criss Cross",8,"No","No","No"
"Binney, David","Out Of Airplanes","BK",9,"No","No","No"
"Bishop, Walter","Trio, 1965","OJC",9,"No","No","No"
"Bishop, Walter","Midnight Blue","Red",9,"No","No","No"
"Bisio, Michael","Panting Breath","CIMP",9,"No","No","No"
"Blackburn, Lou","Complete Imperial","Blue Note",9,"No","No","No"
"Blackburn, Lou","Perception","Fresh Sound",9,"No","No","No"
"Blake, Eubie","Memories Of You","Shout Factory",10,"No","No","Yes"
"Blake, Ran","Short Life Of Barbara Monk","Soul Note",1,"No","Yes","Yes"
"Blake, Ran","Painted Rhythms V1 & 2","GM",2,"No","No","No"
"Blake, Ran","Sonic Temples","GM",6,"No","No","No"
"Blake, Ran","All That Is Tied","Tompkins Square",8,"Yes","No","Yes"
"Blake, Seamus","Way Out Willy","Criss Cross",9,"No","No","No"
"Blakey, Art","A Night At Birdland V 1, 2","Blue Note",1,"No","Yes","Yes"
"Blakey, Art","AB's JMs w/ Monk","Atlantic",1,"Yes","No","Yes"
"Blakey, Art","Mosaic","Blue Note",1,"No","No","No"
"Blakey, Art","Free For All","Blue Note",1,"No","No","No"
"Blakey, Art","Buhaina's Delight","Blue Note",2,"No","No","No"
"Blakey, Art","The Best Of AB","Blue Note",1,"No","No","No"
"Blakey, Art","Night In Tunisia","Blue Note",5,"No","No","No"
"Blakey, Art","Roots And Herbs","Blue Note",5,"No","No","No"
"Blakey, Art","Orgy In Rhythm","Blue Note",9,"No","No","No"
"Blakey, Art","Unforgettable Lee","Fresh Sound",9,"No","No","No"
"Blanchard, Terence","X ()","Columbia",2,"No","No","No"
"Blanchard, Terence","Romantic Defiance","Columbia",3,"No","No","No"
"Blanchard, Terence","Jazz In Film","Columbia",5,"No","No","No"
"Blanchard, Terence","Wandering Moon","Columbia",5,"No","No","Yes"
"Bley, Carla","Lost Chords","Watt",8,"No","No","No"
"Bley, Carla","Escalator Over The Hill ()","Watt",2,"No","No","Yes"
"Bley, Carla","Fleur Carnivore","Watt",10,"No","No","Yes"
"Bley, Paul","Bebop","Steeplechase",1,"No","No","No"
"Bley, Paul","Memoirs","Soul Note",1,"No","No","No"
"Bley, Paul","Open, To Love","ECM",3,"No","No","No"
"Bley, Paul","Touching","Black Lion",2,"No","No","No"
"Bley, Paul","Indian Summer","Steeplechase",2,"No","No","No"
